timestamp,val0,val1,val2,val3,val4,val5,val6,val7
2025-07-28T16:12:36,1,2,3,4,5,6,7,8
2025-07-28T16:12:37,1,2,3,4,5,6,7,8
2025-07-28T16:12:38,1,2,3,4,5,6,7,8
2025-07-28T16:12:39,1,2,3,4,5,6,7,8
2025-07-28T16:12:40,1,2,3,4,5,6,7,8
2025-07-28T16:12:41,1,2,3,4,5,6,7,8
2025-07-28T16:12:42,1,2,3,4,5,6,7,8
2025-07-28T16:12:43,1,2,3,4,5,6,7,8
2025-07-28T16:12:44,1,2,3,4,5,6,7,8
2025-07-28T16:12:45,1,2,3,4,5,6,7,8
2025-07-28T16:12:46,1,2,3,4,5,6,7,8
2025-07-28T16:12:47,1,2,3,4,5,6,7,8
2025-07-28T16:12:48,1,2,3,4,5,6,7,8
2025-07-28T16:12:49,1,2,3,4,5,6,7,8
2025-07-28T16:12:50,1,2,3,4,5,6,7,8
2025-07-28T16:12:51,1,2,3,4,5,6,7,8
2025-07-28T16:12:55,1,2,3,4,5,6,7,8
